# File: ModelUsed.dat
# Creation time: 2026-03-02T14:35:42.613  +0100
#
# Inner population model.
# Version OSSOS 1.0, 2026-02-25
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 14.00
# Parameters for q distribution:  40.00  1.00 35.00  1.00
# Parameters for a distribution:   -2.50  37.70  39.00
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  38.7808   0.0235  32.7066 104.2953 171.3170 177.5519   8.56 2453157.50000   39.6910    inner_
  38.3220   0.0771  22.8427 116.9293  73.5916  64.1856   8.62 2453157.50000   37.2286    inner_
  38.6176   0.0144   8.4433 164.3799 225.9641 294.5246   7.38 2453157.50000   38.3939    inner_
  38.0444   0.0374  27.9984  62.4978 250.4326 279.3404   8.10 2453157.50000   37.8656    inner_
  38.0643   0.0582  22.8711 292.3354  88.2036  92.6389   8.54 2453157.50000   38.2943    inner_
  38.0327   0.0425  48.9515 114.2739  71.9663 199.7585   8.42 2453157.50000   39.5604    inner_
  38.9260   0.0563  27.9854 200.4981  25.4691 345.9220   7.50 2453157.50000   36.8092    inner_
  38.7594   0.0148  20.9896 212.9458 162.2398 222.7057   8.17 2453157.50000   39.1839    inner_
  38.3712   0.0655  35.2217 100.5044 195.2551 303.4799   7.57 2453157.50000   37.1059    inner_
  38.5290   0.0037  27.1287  24.3912 315.9506 248.8685   7.97 2453157.50000   38.5813    inner_
  38.7286   0.0078  25.2013  94.9656 106.3024   1.9473   8.57 2453157.50000   38.4257    inner_
  37.9779   0.1215  27.2920  14.5435 339.7017 323.5405   7.86 2453157.50000   34.4980    inner_
  38.3715   0.0883  20.3441  37.4423 297.1960 238.9114   8.06 2453157.50000   40.3265    inner_
  37.9264   0.0731  20.2581 213.5919 142.2469  39.4913   8.40 2453157.50000   35.8774    inner_
  38.4360   0.0055  22.0875 107.3286 187.6172  33.7963   8.07 2453157.50000   38.2611    inner_
  37.8145   0.0465  24.5315  27.2014 161.7675 187.6536   8.23 2453157.50000   39.5593    inner_
  38.5491   0.0263  26.9398 319.9210 348.5624 232.9663   8.63 2453157.50000   39.1768    inner_
  38.9098   0.0678   5.6630 269.5210 327.7090 273.7295   8.59 2453157.50000   38.9170    inner_
  37.8622   0.0081   7.2529 139.0490 174.6851 135.8870   8.47 2453157.50000   38.0839    inner_
  38.5340   0.0459   7.8087  98.6552  77.1602 248.5889   8.45 2453157.50000   39.2482    inner_
  38.2617   0.1068  24.1912 216.0728 140.7291   8.6325   7.74 2453157.50000   34.2330    inner_
  38.9402   0.0264  29.4517 212.1849 276.4096  44.5894   7.83 2453157.50000   38.2227    inner_
