# File: ModelUsed.dat
# Creation time: 2026-03-02T14:45:58.052  +0100
#
# Detached population model.
# Version OSSOS 1.0, 2026-02-27
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 18.00
# Parameters for q distribution:    7 34.000
#                                  0.080 35.500
#                                  0.580 39.000
#                                  0.340 49.000
# Parameters for a distribution:   -3.00  48.00 250.00
#
# Hot H-dist. parameter:            8.30  0.32  0.40  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 119.5099   0.5926  21.5940 129.9698  31.1577 267.6963   8.03 2453157.50000  156.3155 detached_
  59.6997   0.4092  27.4703 180.8018 341.9835   2.6227   8.03 2453157.50000   35.3424 detached_
  53.5440   0.3259   8.6336  44.1464  37.3378  12.0899   8.28 2453157.50000   36.9283 detached_
  75.5395   0.4221  32.8269 272.1224 157.3364 311.5434   7.67 2453157.50000   65.3564 detached_
  84.4337   0.4977  30.8236 212.0151 305.2276 182.1993   7.70 2453157.50000  126.4434 detached_
  54.9299   0.3342  12.4615 339.5833  20.0001 358.9577   7.01 2453157.50000   36.5769 detached_
  55.5864   0.3251  28.3111 176.5187 202.9375 313.7789   6.25 2453157.50000   47.3221 detached_
 160.3908   0.7634  12.0911 126.8835 348.7695 209.4933   7.65 2453157.50000  277.5956 detached_
  83.1560   0.5327  52.7486  45.4599 175.0992 102.0422   8.43 2453157.50000  109.5403 detached_
  63.1196   0.3861  19.0338 298.0484 106.8432  66.5650   8.60 2453157.50000   62.5582 detached_
 201.0308   0.8095  33.1135 342.6046 310.6085 127.9197   8.47 2453157.50000  342.8795 detached_
  92.1930   0.5044  27.6448  37.8455 312.9240 317.3412   8.34 2453157.50000   76.1191 detached_
 166.1305   0.7784   2.6401 150.9373  41.3636 107.2617   8.48 2453157.50000  261.3641 detached_
  88.1572   0.4598  36.2903 297.7192  55.0238 148.9140   8.21 2453157.50000  125.8826 detached_
  93.8047   0.5281  25.3733 350.8056  61.6918  64.4017   7.97 2453157.50000   97.7478 detached_
  82.4619   0.5544  16.5947 350.6126 202.8043 299.9144   7.16 2453157.50000   83.9261 detached_
  61.9926   0.2224  20.0048 302.3614 137.4011 283.3448   7.07 2453157.50000   61.8481 detached_
  50.2672   0.2628  20.3333 272.1806 188.7871 193.2110   8.33 2453157.50000   63.2586 detached_
