# File: ModelUsed.dat
# Creation time: 2026-03-06T10:56:42.866  +0100
#
# Plutino population model.
# Version OSSOS 1.0, 2026-03-04
#
# Seed:  123476996
#
# Epoch: 2456505.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# p1deg:         2.000
# p2deg:         7.500
# ew:            0.060
# ecent:         0.190
# libampmin:    10.000
# libampc:      50.000
# libampmax:   120.000
# libamptail:  160.000
# libamplow:     0.140
# libampmid:     0.760
# capomfrac:     0.480
#
# Hot H-dist. parameter:           12.00  1.00  0.40  8.66
# hmin:          6.000
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  39.3469   0.1577  10.8579 136.9731 137.0856 173.4843   6.55 2456505.50000   45.5210 03:02_135
  39.3978   0.1014   4.0361  75.6467 199.9313  64.8717   7.39 2456505.50000   38.0535 03:02_173
  39.4363   0.1263  10.3074 295.9828 191.5522 196.5118   7.93 2456505.50000   44.2533 03:02_271
  39.2800   0.2286  21.9581 160.6734  10.9372  34.8147   8.65 2456505.50000   32.8095 03:02_234
  39.5218   0.1867  29.1118  95.6584 106.2826  98.3014   8.14 2456505.50000   41.8569 03:02_126
  39.3267   0.2495  45.2180 289.9195  63.9797 130.7694   8.65 2456505.50000   46.8409 03:02_166
  39.4722   0.1634  26.6141 101.4487  62.3596 157.3082   8.64 2456505.50000   45.5492 03:02_227
  39.3691   0.1831   8.4943 106.3930 328.1348 192.6605   8.29 2456505.50000   46.4506 03:02_154
  39.5136   0.1819  26.1539 219.3535  10.9736 114.4681   8.60 2456505.50000   43.4491 03:02_230
  39.6007   0.2036  14.6633   9.8708 209.8656 207.2974   8.45 2456505.50000   47.0347 03:02_129
  39.3338   0.2286   4.6014   9.8365 311.3394 305.8976   8.13 2456505.50000   35.6870 03:02_267
  39.3742   0.2309  23.6924 222.4017 183.7365 345.7134   8.60 2456505.50000   30.7517 03:02_195
  39.3977   0.1963   9.9030  57.7937 191.3134 350.3203   6.96 2456505.50000   31.8326 03:02_256
  39.3427   0.1242  18.8161 265.6485   4.7726 297.4922   8.54 2456505.50000   37.6045 03:02_140
  39.5649   0.1287  30.5607 183.0104 171.9398 239.2672   8.35 2456505.50000   42.6048 03:02_134
  39.3616   0.1796   2.4208 112.7971 150.4408  91.2795   8.16 2456505.50000   40.7555 03:02_227
  39.4277   0.0901  10.1580 305.8348 253.2230 325.7427   6.57 2456505.50000   36.6039 03:02__82
  39.4646   0.3327  18.8393 238.9137 223.5010 285.2018   8.45 2456505.50000   40.3393 03:02_127
  39.3586   0.2396  24.5177  79.7724 186.6302 338.8009   7.66 2456505.50000   30.9986 03:02_257
  39.4296   0.2182  20.0073 310.5141 214.8519 358.9224   8.65 2456505.50000   30.8303 03:02_114
  39.3722   0.2068  12.3291 116.9733 167.4755  93.0920   7.32 2456505.50000   41.4183 03:02_275
  39.4295   0.1230  13.0770 359.9873 245.5929 222.6368   8.62 2456505.50000   43.2368 03:02_226
  39.3063   0.1396   3.2122 104.5802 179.9783  38.6937   7.25 2456505.50000   35.3768 03:02_112
  39.2433   0.0839  16.9327 224.7461  12.3164 240.6279   7.71 2456505.50000   41.0551 03:02_262
