# File: ModelUsed.dat
# Creation time: 2026-03-03T17:18:23.530  +0100
#
# Scatering population model.
# Version OSSOS 1.0, 2026-02-02
#
# Seed:  123476990
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 19.00
# Parameters for a distribution:   30.00 700.00   0.90
# Parameters for q distribution:    0.04   0.20   2.50
#
# Hot H-dist. parameter:            8.30  0.32  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 305.3564   0.8663  29.6111 243.1492 195.9725   0.4111   8.41 2453157.50000   41.2087 scatterin
 279.9493   0.8647  24.1497  25.3089  60.1131 279.8963   8.25 2453157.50000  408.5130 scatterin
 543.2102   0.9123  47.3727  58.1722  64.3102 207.7274   8.00 2453157.50000 1022.8345 scatterin
 686.1667   0.9340   6.6861 117.8647 203.2998 254.1969   8.55 2453157.50000 1177.9254 scatterin
 186.1818   0.7858  35.7331 279.6292  73.2683  66.8764   8.64 2453157.50000  234.6677 scatterin
 383.3678   0.9217  28.1821 161.0252 250.5568  83.9578   8.43 2453157.50000  593.2442 scatterin
 642.8178   0.9251  19.7810 156.1003 293.4834  14.2336   6.88 2453157.50000  347.7396 scatterin
 403.2995   0.8899  18.5602 311.7738 113.7754 168.0602   7.92 2453157.50000  760.0046 scatterin
  74.1047   0.5336  24.5846 270.6018 125.1521 210.7884   8.42 2453157.50000  111.2115 scatterin
 136.0989   0.7170  19.7807 218.7001 141.1677 259.9318   8.45 2453157.50000  200.1806 scatterin
 590.0158   0.9298  18.5697 240.2824  53.5730 205.2658   7.66 2453157.50000 1124.2390 scatterin
 488.9388   0.9079  21.8803 112.6545  29.7690 162.0677   8.60 2453157.50000  926.8548 scatterin
 241.4138   0.8378  18.0589 221.4682 269.2967 260.4744   7.70 2453157.50000  381.9932 scatterin
 526.2506   0.9212   7.2165 304.5740 287.2476 235.4622   7.74 2453157.50000  948.2272 scatterin
 326.7015   0.8854  23.1450 137.7030 215.4854 230.3684   7.95 2453157.50000  583.9927 scatterin
 546.0309   0.9214  48.0230  37.4277  23.1721 287.3400   7.51 2453157.50000  789.0734 scatterin
 149.9889   0.7393   9.8390 128.4733 177.1741 319.0128   8.26 2453157.50000  136.5409 scatterin
 229.1514   0.8258  13.1040 146.8948  86.7965 150.4695   8.45 2453157.50000  410.7992 scatterin
  59.6338   0.4238  26.6290  32.5646 215.8284 181.2133   8.15 2453157.50000   84.9064 scatterin
 636.7266   0.9292  11.3909 169.5236 135.0748 238.3051   8.40 2453157.50000 1144.1903 scatterin
 306.8790   0.8586  20.2662 138.2323 196.4917 332.6348   8.65 2453157.50000  238.0222 scatterin
 113.6706   0.6693  40.4512  97.9078   8.6409 321.6068   8.02 2453157.50000   94.6545 scatterin
